salary_grade,min_salary,max_salary
015,35360,65770
016,38189,71031
017,41244,76714
018,44543,82851
019,48107,89479
020,51955,96637
021,56112,104368
022,60601,112718
023,65449,121735
024,71994,133908
025,79193,147299
026,87112,162029
027,95824,178232
028,110197,204967
029,126727,235712
030,145736,271069
031,167596,311729
032,192736,358488
033,221646,412262
034,254893,474101
035,293127,545216
051,51168,NA
052,59093,NA
053,71272,NA
054,71272,NA
055,NA,NA
056,30952,NA
057,NA,NA
058,78161,NA
059,20800,52000
060,NA,NA
061,44363,NA
062,50278,NA
063,55790,NA
064,63230,NA
065,67314,NA
066,76289,NA
067,NA,NA
068,44317,NA
069,56165,NA
070,67798,NA
072,43441,NA
073,79743,NA
074,66084,NA
075,52055,NA
077,56078,NA
078,59151,NA
079,74387,NA
080,89753,NA
097,NA,NA
098,NA,NA
099,NA,NA
